ax,ay,az
2.00,1.82,-2.00
-0.98,1.59,2.00
-1.91,0.52,2.00
-2.00,-0.21,1.73
-1.95,-0.02,1.12
-1.36,0.19,-0.22
0.25,0.08,-2.00
1.56,0.87,-2.00
1.90,1.58,-2.00
2.00,1.84,-2.00
1.88,2.00,0.38
-0.15,2.00,2.00
-0.92,1.56,2.00
-1.89,0.57,2.00
-2.00,-0.21,1.79
-2.00,-0.02,1.17
-1.44,0.14,-0.15
0.24,0.06,-2.00
1.58,0.91,-2.00
1.96,1.61,-2.00
2.00,1.81,-2.00
1.73,2.00,0.68
-0.26,2.00,2.00
-1.07,1.55,2.00
-2.00,0.36,2.00
-2.00,-0.22,1.64
-1.95,-0.02,0.96
-1.08,0.18,-0.77
0.81,0.31,-2.00
1.59,1.28,-2.00
2.00,1.76,-2.00
2.00,1.83,-1.70
0.86,2.00,1.69
-0.49,2.00,2.00
-1.49,1.21,2.00
-2.00,0.03,2.00
-2.00,-0.14,1.45
-1.79,0.03,0.47
-0.46,0.04,-1.77
1.43,0.58,-2.00
1.79,1.52,-2.00
2.00,1.87,-2.00
2.00,2.00,-0.36
-0.00,2.00,2.00
-0.79,1.68,2.00
-1.80,0.73,2.00
-2.00,-0.18,1.77
-1.99,-0.05,1.12
-1.44,0.15,-0.28
0.47,0.14,-2.00
1.53,1.13,-2.00
2.00,1.67,-2.00
2.00,1.83,-1.89
0.88,2.00,1.63
-0.48,1.99,2.00
-1.56,1.17,2.00
-2.00,0.01,2.00
-2.00,-0.11,1.35
-1.65,0.14,0.17
0.01,0.02,-2.00
1.53,0.93,-2.00
2.00,1.63,-2.00
2.00,1.79,-2.00
1.11,2.00,1.47
-0.43,2.00,2.00
-1.46,1.23,2.00
-2.00,0.05,2.00
-2.00,-0.14,1.45
-1.80,0.07,0.39
-0.25,-0.00,-2.00
1.52,0.75,-2.00
1.84,1.56,-2.00
2.00,1.79,-2.00
1.69,2.00,0.67
-0.32,2.00,2.00
-1.16,1.46,2.00
-2.00,0.25,2.00
-2.00,-0.17,1.58
-1.82,0.05,0.61
-0.44,0.02,-1.86
1.46,0.72,-2.00
1.88,1.54,-2.00
2.00,1.77,-2.00
1.07,2.00,1.50
-0.49,2.00,2.00
-1.61,1.05,2.00
-2.00,-0.07,1.94
-2.00,-0.01,1.18
-1.27,0.18,-0.59
0.86,0.35,-2.00
1.58,1.40,-2.00
2.00,1.79,-2.00
2.00,1.97,-0.46
-0.05,2.00,2.00
-0.92,1.64,2.00
-1.90,0.52,2.00
-2.00,-0.22,1.69
-1.98,0.02,0.98
-0.99,0.15,-0.95
1.04,0.42,-2.00
1.59,1.42,-2.00
2.00,1.79,-2.00
-0.79,1.73,2.00
-1.87,0.66,2.00
-2.00,-0.22,1.70
-1.99,-0.01,1.00
-0.92,0.17,-1.00
1.14,0.45,-2.00
1.64,1.45,-2.00
2.00,1.80,-2.00
2.00,2.00,0.02
-0.18,2.00,2.00
-1.13,1.50,2.00
-2.00,0.29,2.00
-2.00,-0.18,1.58
-1.84,0.05,0.64
-0.43,0.05,-1.82
1.43,0.68,-2.00
1.81,1.54,-2.00
2.00,1.77,-2.00
1.59,2.00,0.86
-0.35,2.00,2.00
-1.25,1.36,2.00
-2.00,0.12,2.00
-2.00,-0.19,1.52
-1.82,0.08,0.50
-0.27,0.02,-2.00
1.47,0.77,-2.00
1.83,1.56,-2.00
2.00,1.81,-2.00
1.61,2.00,0.88
-0.39,2.00,2.00
-1.23,1.39,2.00
-2.00,0.15,2.00
-2.00,-0.16,1.58
-1.84,0.04,0.64
-0.45,0.07,-1.76
1.42,0.65,-2.00
1.79,1.51,-2.00
2.00,1.77,-2.00
1.80,2.00,0.48
-0.26,2.00,2.00
-1.12,1.47,2.00
-2.00,0.27,2.00
-2.00,-0.23,1.59
-1.87,0.05,0.74
-0.69,0.11,-1.43
1.35,0.55,-2.00
1.70,1.50,-2.00
2.00,1.81,-2.00
2.00,1.99,-0.52
0.04,2.00,2.00
-0.78,1.67,2.00
-1.83,0.71,2.00
-2.00,-0.19,1.76
-2.00,0.01,1.17
-1.37,0.19,-0.24
0.39,0.13,-2.00
1.54,1.05,-2.00
2.00,1.67,-2.00
2.00,1.85,-2.00
1.21,2.00,1.41
-0.41,2.00,2.00
-1.38,1.27,2.00
-2.00,0.10,2.00
-2.00,-0.14,1.53
-1.80,0.04,0.60
-0.57,0.03,-1.59
1.41,0.57,-2.00
1.74,1.49,-2.00
2.00,1.82,-2.00
2.00,1.99,-0.58
0.12,2.00,2.00
-0.75,1.73,2.00
-1.80,0.77,2.00
-2.00,-0.14,1.89
-2.00,-0.03,1.22
-1.46,0.14,-0.06
0.20,0.06,-2.00
1.56,0.92,-2.00
2.00,1.62,-2.00
2.00,1.82,-2.00
1.43,2.00,1.17
-0.39,2.00,2.00
-1.27,1.34,2.00
-2.00,0.17,2.00
-2.00,-0.16,1.54
-1.81,0.04,0.59
-0.45,0.07,-1.71
1.44,0.64,-2.00
1.82,1.50,-2.00
2.00,1.81,-2.00
1.92,2.00,0.24
-0.18,2.00,2.00
-1.05,1.55,2.00
-2.00,0.37,2.00
-2.00,-0.23,1.63
-1.90,-0.00,0.78
-0.76,0.10,-1.35
1.36,0.52,-2.00
1.71,1.48,-2.00
2.00,1.80,-2.00
2.00,2.00,0.02
-0.12,2.00,2.00
-1.01,1.51,2.00
-2.00,0.37,2.00
-2.00,-0.20,1.67
-1.90,0.03,0.75
-0.65,0.10,-1.53
1.41,0.60,-2.00
1.81,1.49,-2.00
2.00,1.80,-2.00
1.69,2.00,0.74
-0.35,2.00,2.00
-1.30,1.35,2.00
-2.00,0.12,2.00
-2.00,-0.12,1.49
-1.76,0.14,0.36
-0.08,0.00,-2.00
1.54,0.86,-2.00
2.00,1.59,-2.00
2.00,1.81,-2.00
0.99,2.00,1.57
-0.50,1.97,2.00
-1.61,1.08,2.00
-2.00,-0.07,1.96
-2.00,-0.00,1.21
-1.33,0.20,-0.48
0.87,0.34,-2.00
1.63,1.39,-2.00
2.00,1.73,-2.00
-0.98,1.60,2.00
-2.00,0.34,2.00
-2.00,-0.17,1.58
-1.79,0.12,0.52
-0.10,0.02,-2.00
1.54,0.92,-2.00
2.00,1.61,-2.00
2.00,1.79,-1.81
0.61,2.00,1.85
-0.67,1.80,2.00
-1.83,0.86,2.00
-2.00,-0.15,1.80
-1.92,-0.01,1.05
-1.05,0.18,-0.83
1.07,0.40,-2.00
1.61,1.44,-2.00
2.00,1.80,-2.00
2.00,2.00,-0.28
-0.10,2.00,2.00
-1.01,1.56,2.00
-1.98,0.44,2.00
-2.00,-0.18,1.68
-1.93,0.05,0.95
-0.98,0.16,-0.92
0.99,0.35,-2.00
1.60,1.37,-2.00
2.00,1.80,-2.00
2.00,1.89,-1.23
0.51,2.00,1.95
-0.63,1.82,2.00
-1.64,0.98,2.00
-2.00,-0.05,2.00
-2.00,-0.07,1.35
-1.63,0.16,0.21
-0.05,-0.01,-2.00
1.57,0.79,-2.00
1.90,1.58,-2.00
2.00,1.85,-2.00
1.89,2.00,0.35
-0.18,2.00,2.00
-0.99,1.57,2.00
-1.87,0.52,2.00
-2.00,-0.18,1.70
-1.95,0.01,1.08
-1.24,0.21,-0.50
0.63,0.17,-2.00
1.57,1.17,-2.00
2.00,1.73,-2.00
2.00,1.84,-1.71
0.82,2.00,1.74
-0.55,1.96,2.00
-1.56,1.08,2.00
-2.00,-0.04,2.00
-2.00,-0.06,1.34
-1.57,0.15,0.12
0.12,0.05,-2.00
1.53,0.98,-2.00
2.00,1.64,-2.00
2.00,1.84,-2.00
0.88,2.00,1.65
-0.52,1.91,2.00
-1.63,1.00,2.00
-2.00,-0.09,1.97
-2.00,-0.01,1.26
-1.40,0.19,-0.20
0.60,0.19,-2.00
1.55,1.25,-2.00
2.00,1.74,-2.00
2.00,1.96,-0.74
-0.02,2.00,2.00
-1.01,1.53,2.00
-2.00,0.35,2.00
-2.00,-0.13,1.62
-1.79,0.12,0.54
-0.11,-0.02,-2.00
1.56,0.91,-2.00
2.00,1.65,-2.00
2.00,1.88,-1.53
0.38,2.00,2.00
-0.77,1.70,2.00
-1.93,0.56,2.00
-2.00,-0.16,1.70
-1.91,0.07,0.87
-0.61,0.10,-1.58
1.45,0.63,-2.00
